,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,WTF,Waton Financial Limited,378.23%,19.13,16270157,922.14M
1,2,RSLS,ReShape Lifesciences Inc.,343.83%,1.6,242076763,5.29M
2,3,BIAF,"bioAffinity Technologies, Inc.",319.23%,1.09,484639339,16.99M
3,4,NMAX,Newsmax Inc.,183.17%,236.47,10927636,30.37B
4,5,ICCT,iCoreConnect Inc.,112.95%,4.77,207540496,6.65M
5,6,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
6,7,SATX,Satixfy Communications Ltd.,65.00%,1.98,666448,167.93M
7,8,QSG,QuantaSing Group Limited,62.94%,6.55,10171011,334.79M
8,9,NUTX,Nutex Health Inc.,51.03%,71.03,310563,386.20M
9,10,TCRT,"Alaunos Therapeutics, Inc.",48.05%,2.176,5290122,3.48M
10,11,CRWV,"CoreWeave, Inc.",42.10%,52.69,35756375,24.45B
11,12,YCBD,"cbdMD, Inc.",39.09%,0.32,1208882,2.00M
12,13,SONM,"Sonim Technologies, Inc.",38.55%,2.965,1406584,14.44M
13,14,MVST,"Microvast Holdings, Inc.",31.62%,1.54,41376563,496.08M
14,15,VERU,Veru Inc.,30.18%,0.638,14870993,93.39M
15,16,LSE,"Leishen Energy Holding Co., Ltd.",29.46%,5.8,206412,98.75M
16,17,NXU,"Nxu, Inc.",29.21%,3.45,742975,7.63M
17,18,PTIX,"Protagenic Therapeutics, Inc.",28.14%,0.25,618488,1.70M
18,19,TOPP,Toppoint Holdings Inc.,28.03%,1.69,431044,29.58M
19,20,EQ,"Equillium, Inc.",27.96%,0.502,270793,17.79M
